*𐑐𐑮𐑺-𐑢𐑰𐑤	𐑐𐑮𐑺-𐑣𐑢𐑰𐑤
beetles	𐑚𐑰𐑑𐑩𐑤𐑟	213
beetling	𐑚𐑰𐑑𐑤𐑦𐑙	1
beetroot	𐑚𐑰𐑑𐑮𐑵𐑑	30
beetroots	𐑚𐑰𐑑𐑮𐑵𐑑𐑕	0
beets	𐑚𐑰𐑑𐑕	2
beeves	𐑚𐑰𐑝𐑟	1
befall	𐑚𐑦𐑓𐑷𐑤	71
befallen	𐑚𐑦𐑓𐑷𐑤𐑩𐑯	50
befalling	𐑚𐑦𐑓𐑷𐑤𐑦𐑙	5
befalls	𐑚𐑦𐑓𐑷𐑤𐑟	6
befel	𐑚𐑦𐑓𐑧𐑤	0
befell	𐑚𐑦𐑓𐑧𐑤	64
befit	𐑚𐑦𐑓𐑦𐑑	5
befits	𐑚𐑦𐑓𐑦𐑑𐑕	80
befitted	𐑚𐑦𐑓𐑦𐑑𐑩𐑛	18
befitting	𐑚𐑦𐑓𐑦𐑑𐑦𐑙	32
befittingly	𐑚𐑦𐑓𐑦𐑑𐑦𐑙𐑤𐑦	0
befogged	𐑚𐑦𐑓𐑪𐑜𐑛	2
before	𐑚𐑦𐑓𐑹	63097
beforehand	𐑚𐑦𐑓𐑹𐑣𐑨𐑯𐑛	536
befoul	𐑚𐑦𐑓𐑬𐑤	2
befouled	𐑚𐑦𐑓𐑬𐑤𐑛	1
befouling	𐑚𐑦𐑓𐑬𐑤𐑦𐑙	0
befouls	𐑚𐑦𐑓𐑬𐑤𐑟	0
befriend	𐑚𐑦𐑓𐑮𐑧𐑯𐑛	42
befriended	𐑚𐑦𐑓𐑮𐑧𐑯𐑛𐑩𐑛	79
befriending	𐑚𐑦𐑓𐑮𐑧𐑯𐑛𐑦𐑙	25
befriends	𐑚𐑦𐑓𐑮𐑧𐑯𐑛𐑟	13
beg	𐑚𐑧𐑜	747
begad	𐑚𐑦𐑜𐑨𐑛	0
began	𐑚𐑦𐑜𐑨𐑯	23576
begat	𐑚𐑦𐑜𐑨𐑑	0
beget	𐑚𐑦𐑜𐑧𐑑	22
begets	𐑚𐑦𐑜𐑧𐑑𐑕	17
begetter	𐑚𐑦𐑜𐑧𐑑𐑼	15
begetters	𐑚𐑦𐑜𐑧𐑑𐑼𐑟	3
beggar	𐑚𐑧𐑜𐑼	201
beggared	𐑚𐑧𐑜𐑼𐑛	10
beggaring	𐑚𐑧𐑜𐑼𐑦𐑙	0
beggarly	𐑚𐑧𐑜𐑼𐑤𐑦	0
beggarman	𐑚𐑧𐑜𐑼𐑥𐑩𐑯	4
beggarmen	𐑚𐑧𐑜𐑼𐑥𐑧𐑯	0
beggars	𐑚𐑧𐑜𐑼𐑟	207
beggarwoman	𐑚𐑧𐑜𐑼𐑢𐑫𐑥𐑩𐑯	2
beggarwomen	𐑚𐑧𐑜𐑼𐑢𐑦𐑥𐑦𐑯	0
beggary	𐑚𐑧𐑜𐑼𐑦	2
begged	𐑚𐑧𐑜𐑛	489
begging	𐑚𐑧𐑜𐑦𐑙	370
begin	𐑚𐑦𐑜𐑦𐑯	7456
beginner	𐑚𐑦𐑜𐑦𐑯𐑼	316
beginners	𐑚𐑦𐑜𐑦𐑯𐑼𐑟	383
beginning	𐑚𐑦𐑜𐑦𐑯𐑦𐑙	11097
beginnings	𐑚𐑦𐑜𐑦𐑯𐑦𐑙𐑟	731
begins	𐑚𐑦𐑜𐑦𐑯𐑟	3262
begone	𐑚𐑦𐑜𐑪𐑯	0
begonia	𐑚𐑦𐑜𐑴𐑯𐑾	11
begonias	𐑚𐑦𐑜𐑴𐑯𐑾𐑟	41
begorra	𐑚𐑦𐑜𐑪𐑮𐑩	0
begot	𐑚𐑦𐑜𐑪𐑑	0
begotten	𐑚𐑦𐑜𐑪𐑑𐑩𐑯	21
begrimed	𐑚𐑦𐑜𐑮𐑲𐑥𐑛	1
begrudge	𐑚𐑦𐑜𐑮𐑳𐑡	50
begrudged	𐑚𐑦𐑜𐑮𐑳𐑡𐑛	12
begrudges	𐑚𐑦𐑜𐑮𐑳𐑡𐑩𐑟	5
begrudging	𐑚𐑦𐑜𐑮𐑳𐑡𐑦𐑙	1
begs	𐑚𐑧𐑜𐑟	149
beguile	𐑚𐑦𐑜𐑲𐑤	18
beguiled	𐑚𐑦𐑜𐑲𐑤𐑛	37
beguiles	𐑚𐑦𐑜𐑲𐑤𐑟	0
beguiling	𐑚𐑦𐑜𐑲𐑤𐑦𐑙	42
begum	𐑚𐑱𐑜𐑩𐑥	7
begums	𐑚𐑱𐑜𐑩𐑥𐑟	0
begun	𐑚𐑦𐑜𐑳𐑯	4242
behalf	𐑚𐑦𐑣𐑭𐑓	1271
behalves	𐑚𐑦𐑣𐑭𐑝𐑟	2
behave	𐑚𐑦𐑣𐑱𐑝	1470
behaved	𐑚𐑦𐑣𐑱𐑝𐑛	607
behaves	𐑚𐑦𐑣𐑱𐑝𐑟	102
behaving	𐑚𐑦𐑣𐑱𐑝𐑦𐑙	551
behavior	𐑚𐑦𐑣𐑱𐑝𐑘𐑼	77
behaviorism	𐑚𐑦𐑣𐑱𐑝𐑘𐑼𐑦𐑟𐑩𐑥	1
behaviorist	𐑚𐑦𐑣𐑱𐑝𐑘𐑼𐑦𐑕𐑑	1
behaviorists	𐑚𐑦𐑣𐑱𐑝𐑘𐑼𐑦𐑕𐑑𐑕	0
behaviors	𐑚𐑦𐑣𐑱𐑝𐑘𐑼𐑟	6
behaviour	𐑚𐑦𐑣𐑱𐑝𐑘𐑼	12316
behaviourism	𐑚𐑦𐑣𐑱𐑝𐑘𐑼𐑦𐑟𐑩𐑥	81
behaviourist	𐑚𐑦𐑣𐑱𐑝𐑘𐑼𐑦𐑕𐑑	83
behaviourists	𐑚𐑦𐑣𐑱𐑝𐑘𐑼𐑦𐑕𐑑𐑕	40
behaviours	𐑚𐑦𐑣𐑱𐑝𐑘𐑼𐑟	537
behead	𐑚𐑦𐑣𐑧𐑛	0
beheaded	𐑚𐑦𐑣𐑧𐑛𐑩𐑛	66
beheading	𐑚𐑦𐑣𐑧𐑛𐑦𐑙	11
beheads	𐑚𐑦𐑣𐑧𐑛𐑟	0
beheld	𐑚𐑦𐑣𐑧𐑤𐑛	26
behest	𐑚𐑦𐑣𐑧𐑕𐑑	0
behests	𐑚𐑦𐑣𐑧𐑕𐑑𐑕	1
behind	𐑚𐑦𐑣𐑲𐑯𐑛	23695
behindhand	𐑚𐑦𐑣𐑲𐑯𐑛𐑣𐑨𐑯𐑛	0
behinds	𐑚𐑦𐑣𐑲𐑯𐑛𐑟	14
behold	𐑚𐑦𐑣𐑴𐑤𐑛	146
beholden	𐑚𐑦𐑣𐑴𐑤𐑛𐑩𐑯	0
beholder	𐑚𐑦𐑣𐑴𐑤𐑛𐑼	46
beholders	𐑚𐑦𐑣𐑴𐑤𐑛𐑼𐑟	5
beholding	𐑚𐑦𐑣𐑴𐑤𐑛𐑦𐑙	8
beholds	𐑚𐑦𐑣𐑴𐑤𐑛𐑟	2
behove	𐑚𐑦𐑣𐑴𐑝	4
behoved	𐑚𐑦𐑣𐑴𐑝𐑛	7
behoves	𐑚𐑦𐑣𐑴𐑝𐑟	29
behoving	𐑚𐑦𐑣𐑴𐑝𐑦𐑙	0
beige	𐑚𐑱𐑠	181
being	𐑚𐑰𐑦𐑙	89065
beings	𐑚𐑰𐑦𐑙𐑟	1772
beirut	𐑚𐑱𐑮𐑵𐑑	658
beith	𐑚𐑰𐑔	62
bejewelled	𐑚𐑦𐑡𐑵𐑩𐑤𐑛	17
belabour	𐑚𐑦𐑤𐑱𐑚𐑼	7
belaboured	𐑚𐑦𐑤𐑱𐑚𐑼𐑛	1
belabouring	𐑚𐑦𐑤𐑱𐑚𐑼𐑦𐑙	2
belabours	𐑚𐑦𐑤𐑱𐑚𐑼𐑟	0
belarus	𐑚𐑧𐑤𐑼𐑵𐑕	1
Belasco	𐑚𐑦𐑤𐑨𐑕𐑒𐑴	0
belated	𐑚𐑦𐑤𐑱𐑑𐑩𐑛	146
belatedly	𐑚𐑦𐑤𐑱𐑑𐑩𐑛𐑤𐑦	204
belay	𐑚𐑦𐑤𐑱	73
belayed	𐑚𐑦𐑤𐑱𐑛	5
belaying	𐑚𐑦𐑤𐑱𐑦𐑙	7
belaying-pin	𐑚𐑦𐑤𐑱𐑦𐑙-𐑐𐑦𐑯	0
belaying-pins	𐑚𐑦𐑤𐑱𐑦𐑙-𐑐𐑦𐑯𐑟	0
belays	𐑚𐑦𐑤𐑱𐑟	17
belch	𐑚𐑧𐑤𐑗	36
belched	𐑚𐑧𐑤𐑗𐑑	54
belches	𐑚𐑧𐑤𐑗𐑩𐑟	8
belching	𐑚𐑧𐑤𐑗𐑦𐑙	40
beldam	𐑚𐑧𐑤𐑛𐑩𐑥	2
beldame	𐑚𐑧𐑤𐑛𐑩𐑥	0
beldames	𐑚𐑧𐑤𐑛𐑩𐑥𐑟	3
beldams	𐑚𐑧𐑤𐑛𐑩𐑥𐑟	0
beleaguer	𐑚𐑦𐑤𐑰𐑜𐑼	1
beleaguered	𐑚𐑦𐑤𐑰𐑜𐑼𐑛	183
beleaguering	𐑚𐑦𐑤𐑰𐑜𐑼𐑦𐑙	0
beleaguers	𐑚𐑦𐑤𐑰𐑜𐑼𐑟	0
belem	𐑚𐑧𐑤𐑩𐑥	0
belfast	𐑚𐑧𐑤𐑓𐑭𐑕𐑑	3621
belfries	𐑚𐑧𐑤𐑓𐑮𐑦𐑟	11
belfry	𐑚𐑧𐑤𐑓𐑮𐑦	86
belgian	𐑚𐑧𐑤𐑡𐑩𐑯	723
belgians	𐑚𐑧𐑤𐑡𐑩𐑯𐑟	99
belgium	𐑚𐑧𐑤𐑡𐑩𐑥	1369
belgrade	𐑚𐑧𐑤𐑜𐑮𐑱𐑛	325
belie	𐑚𐑦𐑤𐑲	34
belied	𐑚𐑦𐑤𐑲𐑛	115
belief	𐑚𐑦𐑤𐑰𐑓	5088
beliefs	𐑚𐑦𐑤𐑰𐑓𐑕	2402
belies	𐑚𐑦𐑤𐑲𐑟	71
believable	𐑚𐑦𐑤𐑰𐑝𐑩𐑚𐑩𐑤	94
believe	𐑚𐑦𐑤𐑰𐑝	21186
believed	𐑚𐑦𐑤𐑰𐑝𐑛	5687
believer	𐑚𐑦𐑤𐑰𐑝𐑼	84
believers	𐑚𐑦𐑤𐑰𐑝𐑼𐑟	91
believes	𐑚𐑦𐑤𐑰𐑝𐑟	3952
believing	𐑚𐑦𐑤𐑰𐑝𐑦𐑙	1269
belike	𐑚𐑦𐑤𐑲𐑒	0
belinda	𐑚𐑩𐑤𐑦𐑯𐑛𐑩	678
belittle	𐑚𐑦𐑤𐑦𐑑𐑩𐑤	57
belittled	𐑚𐑦𐑤𐑦𐑑𐑩𐑤𐑛	18
belittles	𐑚𐑦𐑤𐑦𐑑𐑩𐑤𐑟	5
belittling	𐑚𐑦𐑤𐑦𐑑𐑤𐑦𐑙	15
bell	𐑚𐑧𐑤	1714
bell-bottomed	𐑚𐑧𐑤-𐑚𐑪𐑑𐑩𐑥𐑛	8
bell-bottoms	𐑚𐑧𐑤-𐑚𐑪𐑑𐑩𐑥𐑟	8
bell-buoy	𐑚𐑧𐑤-𐑚𐑶	0
bell-buoys	𐑚𐑧𐑤-𐑚𐑶𐑟	0
bell-flower	𐑚𐑧𐑤-𐑓𐑤𐑬𐑼	0
bell-flowers	𐑚𐑧𐑤-𐑓𐑤𐑬𐑼𐑟	0
bell-founder	𐑚𐑧𐑤-𐑓𐑬𐑯𐑛𐑼	0
bell-founders	𐑚𐑧𐑤-𐑓𐑬𐑯𐑛𐑼𐑟	3
bell-foundries	𐑚𐑧𐑤-𐑓𐑬𐑯𐑛𐑮𐑦𐑟	0
bell-foundry	𐑚𐑧𐑤-𐑓𐑬𐑯𐑛𐑮𐑦	0
bell-metal	𐑚𐑧𐑤-𐑥𐑧𐑑𐑩𐑤	1
bell-pull	𐑚𐑧𐑤-𐑐𐑫𐑤	0
bell-push	𐑚𐑧𐑤-𐑐𐑫𐑖	7
bell-pushes	𐑚𐑧𐑤-𐑐𐑫𐑖𐑩𐑟	4
bell-ringer	𐑚𐑧𐑤-𐑮𐑦𐑙𐑼	6
bell-ringers	𐑚𐑧𐑤-𐑮𐑦𐑙𐑼𐑟	4
bell-tent	𐑚𐑧𐑤-𐑑𐑧𐑯𐑑	0
bell-tents	𐑚𐑧𐑤-𐑑𐑧𐑯𐑑𐑕	0
bella	𐑚𐑧𐑤𐑩	438
belladonna	𐑚𐑧𐑤𐑩𐑛𐑪𐑯𐑩	23
belladonnas	𐑚𐑧𐑤𐑩𐑛𐑪𐑯𐑩𐑟	0
Bellamy	𐑚𐑧𐑤𐑩𐑥𐑦	0
bellboy	𐑚𐑧𐑤𐑚𐑶	6
bellboys	𐑚𐑧𐑤𐑚𐑶𐑟	0
belle	𐑚𐑧𐑤	346
belled	𐑚𐑧𐑤𐑛	4
belles	𐑚𐑧𐑤𐑟	15
belles-lettres	𐑚𐑧𐑤-𐑤𐑧𐑑𐑮𐑩	2
bellhop	𐑚𐑧𐑤𐑣𐑪𐑐	3
bellhops	𐑚𐑧𐑤𐑣𐑪𐑐𐑕	1
bellicose	𐑚𐑧𐑤𐑦𐑒𐑴𐑕	45
bellied	𐑚𐑧𐑤𐑦𐑛	10
bellies	𐑚𐑧𐑤𐑦𐑟	110
belligerence	𐑚𐑦𐑤𐑦𐑡𐑼𐑩𐑯𐑕	46
belligerency	𐑚𐑦𐑤𐑦𐑡𐑼𐑩𐑯𐑕𐑦	6
belligerent	𐑚𐑦𐑤𐑦𐑡𐑼𐑩𐑯𐑑	68
belligerently	𐑚𐑦𐑤𐑦𐑡𐑼𐑩𐑯𐑑𐑤𐑦	44
belligerents	𐑚𐑦𐑤𐑦𐑡𐑼𐑩𐑯𐑑𐑕	34
belling	𐑚𐑧𐑤𐑦𐑙	7
bellow	𐑚𐑧𐑤𐑴	101
bellowed	𐑚𐑧𐑤𐑴𐑛	194
bellowing	𐑚𐑧𐑤𐑴𐑦𐑙	74
bellows	𐑚𐑧𐑤𐑴𐑟	98
bells	𐑚𐑧𐑤𐑟	874
bellshill	𐑚𐑧𐑤𐑟𐑣𐑦𐑤	11
bellwether	𐑚𐑧𐑤𐑢𐑧𐑞𐑼	2
bellwethers	𐑚𐑧𐑤𐑢𐑧𐑞𐑼𐑟	0
belly	𐑚𐑧𐑤𐑦	851
bellyache	𐑚𐑧𐑤𐑦𐑱𐑒	6
bellyached	𐑚𐑧𐑤𐑦𐑱𐑒𐑑	0
bellyaches	𐑚𐑧𐑤𐑦𐑱𐑒𐑕	4
bellyaching	𐑚𐑧𐑤𐑦𐑱𐑒𐑦𐑙	6
bellyflop	𐑚𐑧𐑤𐑦𐑓𐑤𐑪𐑐	0
bellyflops	𐑚𐑧𐑤𐑦𐑓𐑤𐑪𐑐𐑕	0
bellyful	𐑚𐑧𐑤𐑦𐑓𐑫𐑤	9
bellyfuls	𐑚𐑧𐑤𐑦𐑓𐑫𐑤𐑟	1
bellying	𐑚𐑧𐑤𐑦𐑦𐑙	3
bellyland	𐑚𐑧𐑤𐑦𐑤𐑨𐑯𐑛	0
bellylanded	𐑚𐑧𐑤𐑦𐑤𐑨𐑯𐑛𐑩𐑛	0
bellylanding	𐑚𐑧𐑤𐑦𐑤𐑨𐑯𐑛𐑦𐑙	0
bellylands	𐑚𐑧𐑤𐑦𐑤𐑨𐑯𐑛𐑟	0
bellylaugh	𐑚𐑧𐑤𐑦𐑤𐑭𐑓	1
bellylaughed	𐑚𐑧𐑤𐑦𐑤𐑭𐑓𐑑	0
bellylaughing	𐑚𐑧𐑤𐑦𐑤𐑭𐑓𐑦𐑙	0
bellylaughs	𐑚𐑧𐑤𐑦𐑤𐑭𐑓𐑕	0
belo horizonte	𐑚𐑧𐑤𐑴 𐑣𐑪𐑮𐑦𐑟𐑪𐑯𐑑𐑦	0
belong	𐑚𐑦𐑤𐑪𐑙	1692
belonged	𐑚𐑦𐑤𐑪𐑙𐑛	1016
belonging	𐑚𐑦𐑤𐑪𐑙𐑦𐑙	1237
belongings	𐑚𐑦𐑤𐑪𐑙𐑦𐑙𐑟	361
belongs	𐑚𐑦𐑤𐑪𐑙𐑟	665
beloved	𐑚𐑦𐑤𐑳𐑝𐑩𐑛	639
beloveds	𐑚𐑦𐑤𐑳𐑝𐑩𐑛𐑟	3
below	𐑚𐑦𐑤𐑴	14335
belper	𐑚𐑧𐑤𐑐𐑼	21
belt	𐑚𐑧𐑤𐑑	1778
belted	𐑚𐑧𐑤𐑑𐑩𐑛	92
belting	𐑚𐑧𐑤𐑑𐑦𐑙	51
beltings	𐑚𐑧𐑤𐑑𐑦𐑙𐑟	1
belts	𐑚𐑧𐑤𐑑𐑕	377
belying	𐑚𐑦𐑤𐑲𐑦𐑙	21
bemoan	𐑚𐑦𐑥𐑴𐑯	26
bemoaned	𐑚𐑦𐑥𐑴𐑯𐑛	27
bemoaning	𐑚𐑦𐑥𐑴𐑯𐑦𐑙	49
bemoans	𐑚𐑦𐑥𐑴𐑯𐑟	17
bemused	𐑚𐑦𐑥𐑿𐑟𐑛	305
ben	𐑚𐑧𐑯	3138
bench	𐑚𐑧𐑯𐑗	1667
benches	𐑚𐑧𐑯𐑗𐑩𐑟	406
benchmark	𐑚𐑧𐑯𐑗𐑥𐑸𐑒	165
benchmarks	𐑚𐑧𐑯𐑗𐑥𐑸𐑒𐑕	52
bend	𐑚𐑧𐑯𐑛	1219
bended	𐑚𐑧𐑯𐑛𐑩𐑛	14
bender	𐑚𐑧𐑯𐑛𐑼	35
bending	𐑚𐑧𐑯𐑛𐑦𐑙	523
bends	𐑚𐑧𐑯𐑛𐑟	246
beneath	𐑚𐑦𐑯𐑰𐑔	5179
benedick	𐑚𐑧𐑯𐑦𐑛𐑦𐑒	0
benedicks	𐑚𐑧𐑯𐑦𐑛𐑦𐑒𐑕	0
benedict	𐑚𐑧𐑯𐑦𐑛𐑦𐑒𐑑	541
benedictine	𐑚𐑧𐑯𐑦𐑛𐑦𐑒𐑑𐑦𐑯	80
benedictines	𐑚𐑧𐑯𐑦𐑛𐑦𐑒𐑑𐑦𐑯𐑟	5
benediction	𐑚𐑧𐑯𐑦𐑛𐑦𐑒𐑖𐑩𐑯	41
benedictions	𐑚𐑧𐑯𐑦𐑛𐑦𐑒𐑖𐑩𐑯𐑟	2
benefaction	𐑚𐑧𐑯𐑦𐑓𐑨𐑒𐑖𐑩𐑯	14
benefactions	𐑚𐑧𐑯𐑦𐑓𐑨𐑒𐑖𐑩𐑯𐑟	20
benefactor	𐑚𐑧𐑯𐑦𐑓𐑨𐑒𐑑𐑼	154
benefactors	𐑚𐑧𐑯𐑦𐑓𐑨𐑒𐑑𐑼𐑟	106
benefactress	𐑚𐑧𐑯𐑦𐑓𐑨𐑒𐑑𐑮𐑩𐑕	3
benefactresses	𐑚𐑧𐑯𐑦𐑓𐑨𐑒𐑑𐑮𐑩𐑕𐑩𐑟	0
benefice	𐑚𐑧𐑯𐑦𐑓𐑦𐑕	25
beneficed	𐑚𐑧𐑯𐑦𐑓𐑦𐑕𐑑	4
beneficence	𐑚𐑦𐑯𐑧𐑓𐑦𐑕𐑩𐑯𐑕	17
beneficent	𐑚𐑦𐑯𐑧𐑓𐑦𐑕𐑩𐑯𐑑	56
benefices	𐑚𐑧𐑯𐑦𐑓𐑦𐑕𐑩𐑟	56
beneficial	𐑚𐑧𐑯𐑦𐑓𐑦𐑖𐑩𐑤	1375
beneficially	𐑚𐑧𐑯𐑦𐑓𐑦𐑖𐑩𐑤𐑦	67
beneficiaries	𐑚𐑧𐑯𐑦𐑓𐑦𐑖𐑼𐑦𐑟	451
beneficiary	𐑚𐑧𐑯𐑦𐑓𐑦𐑖𐑼𐑦	361
benefit	𐑚𐑧𐑯𐑦𐑓𐑦𐑑	9958
benefited	𐑚𐑧𐑯𐑦𐑓𐑦𐑑𐑩𐑛	576
benefiting	𐑚𐑧𐑯𐑦𐑓𐑦𐑑𐑦𐑙	220
benefits	𐑚𐑧𐑯𐑦𐑓𐑦𐑑𐑕	7413
benevolence	𐑚𐑦𐑯𐑧𐑝𐑩𐑤𐑩𐑯𐑕	115
benevolent	𐑚𐑦𐑯𐑧𐑝𐑩𐑤𐑩𐑯𐑑	319
benevolently	𐑚𐑦𐑯𐑧𐑝𐑩𐑤𐑩𐑯𐑑𐑤𐑦	24
bengali	𐑚𐑧𐑙𐑜𐑷𐑤𐑦	42
bengalis	𐑚𐑧𐑙𐑜𐑷𐑤𐑦𐑟	0
benighted	𐑚𐑦𐑯𐑲𐑑𐑩𐑛	42
benign	𐑚𐑦𐑯𐑲𐑯	488
benignant	𐑚𐑦𐑯𐑦𐑜𐑯𐑩𐑯𐑑	1
benignantly	𐑚𐑦𐑯𐑦𐑜𐑯𐑩𐑯𐑑𐑤𐑦	0
benignities	𐑚𐑦𐑯𐑦𐑜𐑯𐑦𐑑𐑦𐑟	0
benignity	𐑚𐑦𐑯𐑦𐑜𐑯𐑦𐑑𐑦	8
benignly	𐑚𐑦𐑯𐑲𐑯𐑤𐑦	52
benin	𐑚𐑧𐑯𐑦𐑯	138
beninese	𐑚𐑧𐑯𐑦𐑯𐑰𐑟	3
benison	𐑚𐑧𐑯𐑦𐑟𐑩𐑯	8
benisons	𐑚𐑧𐑯𐑦𐑟𐑩𐑯𐑟	1
benjamin	𐑚𐑧𐑯𐑡𐑩𐑥𐑦𐑯	1700
bennet	𐑚𐑧𐑯𐑩𐑑	96
bennets	𐑚𐑧𐑯𐑩𐑑𐑕	0
benny	𐑚𐑧𐑯𐑦	462
bens	𐑚𐑧𐑯𐑟	1
Benson	𐑚𐑧𐑯𐑕𐑩𐑯	0
bent	𐑚𐑧𐑯𐑑	1347
bents	𐑚𐑧𐑯𐑑𐑕	1
benumbed	𐑚𐑦𐑯𐑳𐑥𐑛	2
benzedrine	𐑚𐑧𐑯𐑟𐑩𐑛𐑮𐑰𐑯	1
benzedrines	𐑚𐑧𐑯𐑟𐑩𐑛𐑮𐑰𐑯𐑟	0
benzene	𐑚𐑧𐑯𐑟𐑰𐑯	107
benzine	𐑚𐑧𐑯𐑟𐑰𐑯	6
benzol	𐑚𐑧𐑯𐑟𐑪𐑤	2
beograd	𐑚𐑱𐑴𐑜𐑮𐑨𐑛	0
bequeath	𐑚𐑦𐑒𐑢𐑰𐑞	0
bequeathed	𐑚𐑦𐑒𐑢𐑰𐑞𐑛	137
bequeathing	𐑚𐑦𐑒𐑢𐑰𐑞𐑦𐑙	13
bequeaths	𐑚𐑦𐑒𐑢𐑰𐑞𐑟	0
bequest	𐑚𐑦𐑒𐑢𐑧𐑕𐑑	179
bequests	𐑚𐑦𐑒𐑢𐑧𐑕𐑑𐑕	122
berate	𐑚𐑦𐑮𐑱𐑑	18
berated	𐑚𐑦𐑮𐑱𐑑𐑩𐑛	43
berates	𐑚𐑦𐑮𐑱𐑑𐑕	5
berating	𐑚𐑦𐑮𐑱𐑑𐑦𐑙	19
bereave	𐑚𐑦𐑮𐑰𐑝	1
bereaved	𐑚𐑦𐑮𐑰𐑝𐑛	238
bereavement	𐑚𐑦𐑮𐑰𐑝𐑥𐑩𐑯𐑑	337
bereavements	𐑚𐑦𐑮𐑰𐑝𐑥𐑩𐑯𐑑𐑕	10
bereaves	𐑚𐑦𐑮𐑰𐑝𐑟	1
bereaving	𐑚𐑦𐑮𐑰𐑝𐑦𐑙	0
bereft	𐑚𐑦𐑮𐑧𐑓𐑑	17
beret	𐑚𐑧𐑮𐑱	100
berets	𐑚𐑧𐑮𐑱𐑟	48
berg	𐑚𐑻𐑜	3
bergamo	𐑚𐑻𐑜𐑭𐑥𐑴	3
bergen	𐑚𐑻𐑜𐑩𐑯	66
bergs	𐑚𐑻𐑜𐑟	3
beri-beri	𐑚𐑧𐑮𐑦-𐑚𐑧𐑮𐑦	3
berkeley	𐑚𐑸𐑒𐑤𐑦	562
berkeleys	𐑚𐑸𐑒𐑤𐑦𐑟	9
berkhamsted	𐑚𐑻𐑒𐑩𐑥𐑕𐑑𐑧𐑛	28
berkshire	𐑚𐑸𐑒𐑖𐑼	657
berkshires	𐑚𐑸𐑒𐑖𐑼𐑟	1
berlin	𐑚𐑻𐑤𐑦𐑯	2742
bermuda	𐑚𐑼𐑥𐑿𐑛𐑩	186
bermudan	𐑚𐑼𐑥𐑿𐑛𐑩𐑯	1
bermudans	𐑚𐑼𐑥𐑿𐑛𐑩𐑯𐑟	0
bern	𐑚𐑻𐑯	12
bernard	𐑚𐑻𐑯𐑼𐑛	1740
berners	𐑚𐑻𐑯𐑼𐑟	18
bernie	𐑚𐑻𐑯𐑦	315
berries	𐑚𐑧𐑮𐑦𐑟	327
berry	𐑚𐑧𐑮𐑦	57
berserk	𐑚𐑼𐑕𐑻𐑒	0
bert	𐑚𐑻𐑑	490
berth	𐑚𐑻𐑔	220
bertha	𐑚𐑻𐑔𐑩	174
berthed	𐑚𐑻𐑔𐑑	32
berthing	𐑚𐑻𐑔𐑦𐑙	6
berths	𐑚𐑻𐑔𐑕	80
bertie	𐑚𐑻𐑑𐑦	110
berwick	𐑚𐑧𐑮𐑦𐑒	338
berwick-upon-tweed	𐑚𐑧𐑮𐑦𐑒-𐑩𐑐𐑪𐑯-𐑑𐑢𐑰𐑛	26
beryl	𐑚𐑧𐑮𐑩𐑤	148
beryls	𐑚𐑧𐑮𐑩𐑤𐑟	0
beseech	𐑚𐑦𐑕𐑰𐑗	23
beseeched	𐑚𐑦𐑕𐑰𐑗𐑑	16
beseeches	𐑚𐑦𐑕𐑰𐑗𐑩𐑟	1
beseeching	𐑚𐑦𐑕𐑰𐑗𐑦𐑙	30
beseechingly	𐑚𐑦𐑕𐑰𐑗𐑦𐑙𐑤𐑦	21
beseem	𐑚𐑦𐑕𐑰𐑥	0
beseemed	𐑚𐑦𐑕𐑰𐑥𐑛	0
beseeming	𐑚𐑦𐑕𐑰𐑥𐑦𐑙	1
beseems	𐑚𐑦𐑕𐑰𐑥𐑟	0
beset	𐑚𐑦𐑕𐑧𐑑	230
besets	𐑚𐑦𐑕𐑧𐑑𐑕	13
besetting	𐑚𐑦𐑕𐑧𐑑𐑦𐑙	19
beshrew	𐑚𐑦𐑖𐑮𐑵	0
beshrewed	𐑚𐑦𐑖𐑮𐑵𐑛	0
beshrewing	𐑚𐑦𐑖𐑮𐑵𐑦𐑙	0
beshrews	𐑚𐑦𐑖𐑮𐑵𐑟	0
beside	𐑚𐑦𐑕𐑲𐑛	5785
besides	𐑚𐑦𐑕𐑲𐑛𐑟	2613
besiege	𐑚𐑦𐑕𐑰𐑡	21
besieged	𐑚𐑦𐑕𐑰𐑡𐑛	241
besieger	𐑚𐑦𐑕𐑰𐑡𐑼	2
besiegers	𐑚𐑦𐑕𐑰𐑡𐑼𐑟	17
besieges	𐑚𐑦𐑕𐑰𐑡𐑩𐑟	1
besieging	𐑚𐑦𐑕𐑰𐑡𐑦𐑙	29
besmear	𐑚𐑦𐑕𐑥𐑽	1
besmeared	𐑚𐑦𐑕𐑥𐑽𐑛	0
besmearing	𐑚𐑦𐑕𐑥𐑽𐑦𐑙	0
besmears	𐑚𐑦𐑕𐑥𐑽𐑟	0
besmirch	𐑚𐑦𐑕𐑥𐑻𐑗	5
besmirched	𐑚𐑦𐑕𐑥𐑻𐑗𐑑	9
besmirches	𐑚𐑦𐑕𐑥𐑻𐑗𐑩𐑟	1
besmirching	𐑚𐑦𐑕𐑥𐑻𐑗𐑦𐑙	2
besom	𐑚𐑰𐑟𐑩𐑥	7
besoms	𐑚𐑰𐑟𐑩𐑥𐑟	2
besotted	𐑚𐑦𐑕𐑪𐑑𐑩𐑛	14
